"","sampledate","Source","Pext_kgday","Yr"
"1140",2013-07-20,"Pother_kgday",25.0371188992994,"2013"
"1141",2013-07-21,"Pother_kgday",54.2287710268224,"2013"
"1142",2013-07-22,"Pother_kgday",38.5700998423903,"2013"
"1143",2013-07-23,"Pother_kgday",42.9598400786859,"2013"
"1144",2013-07-24,"Pother_kgday",27.1189095166552,"2013"
"1145",2013-07-25,"Pother_kgday",21.8903625317107,"2013"
"1146",2013-07-26,"Pother_kgday",33.5062331926498,"2013"
"1147",2013-07-27,"Pother_kgday",24.4883605140631,"2013"
"1148",2013-07-28,"Pother_kgday",24.3400867264705,"2013"
"1149",2013-07-29,"Pother_kgday",22.1722713739791,"2013"
"1150",2013-07-30,"Pother_kgday",20.3215314403338,"2013"
"1151",2013-07-31,"Pother_kgday",20.822871026832,"2013"
"1152",2013-08-01,"Pother_kgday",19.5762426666531,"2013"
"1153",2013-08-02,"Pother_kgday",21.3300760133567,"2013"
"1154",2013-08-03,"Pother_kgday",17.2541004877402,"2013"
"1155",2013-08-04,"Pother_kgday",15.5878605577969,"2013"
"1156",2013-08-05,"Pother_kgday",17.5439085777933,"2013"
"1157",2013-08-06,"Pother_kgday",16.105257464763,"2013"
"1158",2013-08-07,"Pother_kgday",17.5921088639517,"2013"
"1159",2013-08-08,"Pother_kgday",15.1169017943332,"2013"
"1160",2013-08-09,"Pother_kgday",15.5857012946671,"2013"
"1161",2013-08-10,"Pother_kgday",15.0008987558515,"2013"
"1162",2013-08-11,"Pother_kgday",16.0764213129017,"2013"
"1163",2013-08-12,"Pother_kgday",14.8478782565436,"2013"
"1164",2013-08-13,"Pother_kgday",14.2409361698334,"2013"
"1165",2013-08-14,"Pother_kgday",13.5202509788256,"2013"
"1166",2013-08-15,"Pother_kgday",13.6284185452381,"2013"
"1167",2013-08-16,"Pother_kgday",13.3499165169385,"2013"
"1168",2013-08-17,"Pother_kgday",12.1734901296503,"2013"
"1169",2013-08-18,"Pother_kgday",12.6007637232073,"2013"
"1170",2013-08-19,"Pother_kgday",12.9007283001914,"2013"
"1171",2013-08-20,"Pother_kgday",10.9946074410371,"2013"
"1172",2013-08-21,"Pother_kgday",20.843153480742,"2013"
"1173",2013-08-22,"Pother_kgday",48.7379758931117,"2013"
"1174",2013-08-23,"Pother_kgday",29.7162462403203,"2013"
"1175",2013-08-24,"Pother_kgday",16.6917501237769,"2013"
"1176",2013-08-25,"Pother_kgday",13.8378256893365,"2013"
"1177",2013-08-26,"Pother_kgday",13.8191067323823,"2013"
"1178",2013-08-27,"Pother_kgday",12.9883730076556,"2013"
"1179",2013-08-28,"Pother_kgday",13.1268929588785,"2013"
"1180",2013-08-29,"Pother_kgday",10.9342046186872,"2013"
"1181",2013-08-30,"Pother_kgday",13.9053851508084,"2013"
"1182",2013-08-31,"Pother_kgday",10.8840077701093,"2013"
"1183",2013-09-01,"Pother_kgday",11.728116432183,"2013"
"1184",2013-09-02,"Pother_kgday",12.2595426590163,"2013"
"1185",2013-09-03,"Pother_kgday",11.3754775578304,"2013"
"1186",2013-09-04,"Pother_kgday",11.5847348389247,"2013"
"1187",2013-09-05,"Pother_kgday",10.2870186934487,"2013"
"1188",2013-09-06,"Pother_kgday",10.2830900980669,"2013"
"1189",2013-09-07,"Pother_kgday",12.4990388287651,"2013"
"1190",2013-09-08,"Pother_kgday",10.1433409879603,"2013"
"1191",2013-09-09,"Pother_kgday",9.49760128690828,"2013"
"1192",2013-09-10,"Pother_kgday",11.7885469342403,"2013"
"1193",2013-09-11,"Pother_kgday",16.1154250643977,"2013"
"1194",2013-09-12,"Pother_kgday",11.9083196837016,"2013"
"1195",2013-09-13,"Pother_kgday",9.93829580020424,"2013"
"1196",2013-09-14,"Pother_kgday",8.76113681447493,"2013"
"1197",2013-09-15,"Pother_kgday",26.6636401960372,"2013"
"1198",2014-07-15,"Pother_kgday",22.1150304622606,"2014"
"1199",2014-07-16,"Pother_kgday",17.2400815932483,"2014"
"1200",2014-07-17,"Pother_kgday",16.4473739039757,"2014"
"1201",2014-07-18,"Pother_kgday",17.3354268031186,"2014"
"1202",2014-07-19,"Pother_kgday",16.5836538741769,"2014"
"1203",2014-07-20,"Pother_kgday",15.0358893221692,"2014"
"1204",2014-07-21,"Pother_kgday",14.9663392669726,"2014"
"1205",2014-07-22,"Pother_kgday",17.3738876113932,"2014"
"1206",2014-07-23,"Pother_kgday",13.67302729965,"2014"
"1207",2014-07-24,"Pother_kgday",13.6869207227472,"2014"
"1208",2014-07-25,"Pother_kgday",14.49038357229,"2014"
"1209",2014-07-26,"Pother_kgday",16.8804140985317,"2014"
"1210",2014-07-27,"Pother_kgday",16.1638313407239,"2014"
"1211",2014-07-28,"Pother_kgday",12.8579704646656,"2014"
"1212",2014-07-29,"Pother_kgday",13.7373540128983,"2014"
"1213",2014-07-30,"Pother_kgday",13.7990022225008,"2014"
"1214",2014-07-31,"Pother_kgday",13.2587293043011,"2014"
"1215",2014-08-01,"Pother_kgday",26.75100088269,"2014"
"1216",2014-08-02,"Pother_kgday",23.1978252754907,"2014"
"1217",2014-08-03,"Pother_kgday",16.1211362112616,"2014"
"1218",2014-08-04,"Pother_kgday",51.3714018232357,"2014"
"1219",2014-08-05,"Pother_kgday",72.3006490186287,"2014"
"1220",2014-08-06,"Pother_kgday",37.0844030389,"2014"
"1221",2014-08-07,"Pother_kgday",28.9194348262553,"2014"
"1222",2014-08-08,"Pother_kgday",23.7737311857404,"2014"
"1223",2014-08-09,"Pother_kgday",20.3638422311905,"2014"
"1224",2014-08-10,"Pother_kgday",18.0107690040463,"2014"
"1225",2014-08-11,"Pother_kgday",21.6172699053461,"2014"
"1226",2014-08-12,"Pother_kgday",14.2504690568979,"2014"
"1227",2014-08-13,"Pother_kgday",15.2703701949159,"2014"
"1228",2014-08-14,"Pother_kgday",14.0425200168481,"2014"
"1229",2014-08-15,"Pother_kgday",11.6239613936353,"2014"
"1230",2014-08-16,"Pother_kgday",15.0412729591915,"2014"
"1231",2014-08-17,"Pother_kgday",13.440548086919,"2014"
"1232",2014-08-18,"Pother_kgday",10.7390799378559,"2014"
"1233",2014-08-19,"Pother_kgday",24.3038008119405,"2014"
"1234",2014-08-20,"Pother_kgday",12.9088751878199,"2014"
"1235",2014-08-21,"Pother_kgday",21.6089549616927,"2014"
"1236",2014-08-22,"Pother_kgday",12.6609464302033,"2014"
"1237",2014-08-23,"Pother_kgday",11.9891210495471,"2014"
"1238",2014-08-24,"Pother_kgday",10.5717429065166,"2014"
"1239",2014-08-25,"Pother_kgday",57.7039033274296,"2014"
"1240",2014-08-26,"Pother_kgday",37.8160966087818,"2014"
"1241",2014-08-27,"Pother_kgday",24.0520942225313,"2014"
"1242",2014-08-28,"Pother_kgday",17.0391882574454,"2014"
"1243",2014-08-29,"Pother_kgday",9.94020570057219,"2014"
"1244",2014-08-30,"Pother_kgday",20.4832988766952,"2014"
"1245",2014-08-31,"Pother_kgday",15.9483785736968,"2014"
"1246",2014-09-01,"Pother_kgday",14.518860901053,"2014"
"1247",2014-09-02,"Pother_kgday",12.7397059725413,"2014"
"1248",2014-09-03,"Pother_kgday",8.92544297777847,"2014"
"1249",2014-09-04,"Pother_kgday",168.925345392054,"2014"
"1250",2014-09-05,"Pother_kgday",48.2971783943112,"2014"
"1251",2014-09-06,"Pother_kgday",21.5664537162314,"2014"
"1252",2014-09-07,"Pother_kgday",16.4869337058432,"2014"
"1253",2014-09-08,"Pother_kgday",12.4678620190625,"2014"
"1254",2014-09-09,"Pother_kgday",13.3117206961473,"2014"
"1255",2014-09-10,"Pother_kgday",21.4300393031014,"2014"
"1256",2014-09-11,"Pother_kgday",11.6834475836619,"2014"
"1257",2014-09-12,"Pother_kgday",14.4933646385825,"2014"
"1258",2014-09-13,"Pother_kgday",11.4052997669025,"2014"
"1259",2014-09-14,"Pother_kgday",9.91067485559716,"2014"
"1260",2014-09-15,"Pother_kgday",15.528292100421,"2014"
"1261",2015-07-15,"Pother_kgday",15.4203161387547,"2015"
"1262",2015-07-16,"Pother_kgday",28.3344117625517,"2015"
"1263",2015-07-17,"Pother_kgday",25.0659253182723,"2015"
"1264",2015-07-18,"Pother_kgday",76.0854821753709,"2015"
"1265",2015-07-19,"Pother_kgday",39.7039943575151,"2015"
"1266",2015-07-20,"Pother_kgday",19.9401485117319,"2015"
"1267",2015-07-21,"Pother_kgday",15.8278831899867,"2015"
"1268",2015-07-22,"Pother_kgday",14.2350832348433,"2015"
"1269",2015-07-23,"Pother_kgday",12.8320614903108,"2015"
"1270",2015-07-24,"Pother_kgday",11.5658911929489,"2015"
"1271",2015-07-25,"Pother_kgday",13.1054452065978,"2015"
"1272",2015-07-26,"Pother_kgday",12.7999586815918,"2015"
"1273",2015-07-27,"Pother_kgday",11.530390235084,"2015"
"1274",2015-07-28,"Pother_kgday",12.0123564798007,"2015"
"1275",2015-07-29,"Pother_kgday",30.975788426246,"2015"
"1276",2015-07-30,"Pother_kgday",13.1536207112066,"2015"
"1277",2015-07-31,"Pother_kgday",11.5125872116224,"2015"
"1278",2015-08-01,"Pother_kgday",10.6519364459456,"2015"
"1279",2015-08-02,"Pother_kgday",8.57506290549014,"2015"
"1280",2015-08-03,"Pother_kgday",11.6159430499958,"2015"
"1281",2015-08-04,"Pother_kgday",10.0997178420837,"2015"
"1282",2015-08-05,"Pother_kgday",10.4192757623611,"2015"
"1283",2015-08-06,"Pother_kgday",9.12463024946979,"2015"
"1284",2015-08-07,"Pother_kgday",16.5164185262973,"2015"
"1285",2015-08-08,"Pother_kgday",15.7597411846027,"2015"
"1286",2015-08-09,"Pother_kgday",12.0241325661041,"2015"
"1287",2015-08-10,"Pother_kgday",10.2983089382372,"2015"
"1288",2015-08-11,"Pother_kgday",9.65040473876973,"2015"
"1289",2015-08-12,"Pother_kgday",9.45166569577465,"2015"
"1290",2015-08-13,"Pother_kgday",8.57340472506694,"2015"
"1291",2015-08-14,"Pother_kgday",10.1667894042822,"2015"
"1292",2015-08-15,"Pother_kgday",8.58864490092736,"2015"
"1293",2015-08-16,"Pother_kgday",8.64875216873663,"2015"
"1294",2015-08-17,"Pother_kgday",19.1034245154256,"2015"
"1295",2015-08-18,"Pother_kgday",49.0856210032156,"2015"
"1296",2015-08-19,"Pother_kgday",75.531387476733,"2015"
"1297",2015-08-20,"Pother_kgday",24.0065771294075,"2015"
"1298",2015-08-21,"Pother_kgday",9.86314403276593,"2015"
"1299",2015-08-22,"Pother_kgday",9.27673523756569,"2015"
"1300",2015-08-23,"Pother_kgday",11.5435424713496,"2015"
"1301",2015-08-24,"Pother_kgday",10.2443995365645,"2015"
"1302",2015-08-25,"Pother_kgday",9.53621017898512,"2015"
"1303",2015-08-26,"Pother_kgday",8.04187489163434,"2015"
"1304",2015-08-27,"Pother_kgday",8.61552306880894,"2015"
"1305",2015-08-28,"Pother_kgday",24.3071742369267,"2015"
"1306",2015-08-29,"Pother_kgday",81.27530935982,"2015"
"1307",2015-08-30,"Pother_kgday",25.7850672118481,"2015"
"1308",2015-08-31,"Pother_kgday",15.7703676658181,"2015"
"1309",2015-09-01,"Pother_kgday",11.532478817238,"2015"
"1310",2015-09-02,"Pother_kgday",10.3817830103571,"2015"
"1311",2015-09-03,"Pother_kgday",10.0506344598747,"2015"
"1312",2015-09-04,"Pother_kgday",8.56211188222619,"2015"
"1313",2015-09-05,"Pother_kgday",8.26307274276415,"2015"
"1314",2015-09-06,"Pother_kgday",8.40255611829192,"2015"
"1315",2015-09-07,"Pother_kgday",17.2961778335482,"2015"
"1316",2015-09-08,"Pother_kgday",17.0713141848962,"2015"
"1317",2015-09-09,"Pother_kgday",10.5306051335949,"2015"
"1318",2015-09-10,"Pother_kgday",16.8326006789206,"2015"
"1319",2015-09-11,"Pother_kgday",10.5335902818245,"2015"
"1320",2015-09-12,"Pother_kgday",8.98684718814872,"2015"
"1321",2015-09-13,"Pother_kgday",7.78194047171126,"2015"
"1322",2015-09-14,"Pother_kgday",8.43498123637932,"2015"
