"","Yr","daynum","epi_totP_mgL"
"227",2016,251,0.0237714285714286
"228",2016,252,0.0242428571428571
"229",2017,196,0.0434285714285714
"230",2017,197,0.0437142857142857
"231",2017,198,0.044
"232",2017,199,0.0442857142857143
"233",2017,200,0.0445714285714286
"234",2017,201,0.0448571428571429
"235",2017,202,0.0451428571428571
"236",2017,203,0.0454285714285714
"237",2017,204,0.0457142857142857
"238",2017,205,0.046
"239",2017,206,0.0457142857142857
"240",2017,207,0.0454285714285714
"241",2017,208,0.0451428571428571
"242",2017,209,0.0448571428571429
"243",2017,210,0.0445714285714286
"244",2017,211,0.0442857142857143
"245",2017,212,0.044
"246",2017,213,0.0437142857142857
"247",2017,214,0.0434285714285714
"248",2017,215,0.0431428571428571
"249",2017,216,0.0428571428571429
"250",2017,217,0.0425714285714286
"251",2017,218,0.0422857142857143
"252",2017,219,0.042
"253",2017,220,0.04140625
"254",2017,221,0.0408125
"255",2017,222,0.04021875
"256",2017,223,0.039625
"257",2017,224,0.03903125
"258",2017,225,0.0384375
"259",2017,226,0.03784375
"260",2017,227,0.03725
"261",2017,228,0.03665625
"262",2017,229,0.0360625
"263",2017,230,0.03546875
"264",2017,231,0.034875
"265",2017,232,0.03428125
"266",2017,233,0.0336875
"267",2017,234,0.03309375
"268",2017,235,0.0325
"269",2017,236,0.03225
"270",2017,237,0.032
"271",2017,238,0.03175
"272",2017,239,0.0315
"273",2017,240,0.03125
"274",2017,241,0.031
"275",2017,242,0.03075
"276",2017,243,0.0305
"277",2017,244,0.03025
"278",2017,245,0.03
"279",2017,246,0.02975
"280",2017,247,0.0295
"281",2017,248,0.02925
"282",2017,249,0.029
"283",2017,250,0.0287894736842105
"284",2017,251,0.0285789473684211
"285",2017,252,0.0283684210526316
"286",2018,196,0.0382619047619047
"287",2018,197,0.0384166666666667
"288",2018,198,0.0385714285714286
"289",2018,199,0.0387261904761905
"290",2018,200,0.0388809523809524
"291",2018,201,0.0390357142857143
"292",2018,202,0.0391904761904762
"293",2018,203,0.0393452380952381
"294",2018,204,0.0395
"295",2018,205,0.0380357142857143
"296",2018,206,0.0365714285714286
"297",2018,207,0.0351071428571429
"298",2018,208,0.0336428571428571
"299",2018,209,0.0321785714285714
"300",2018,210,0.0307142857142857
"301",2018,211,0.02925
"302",2018,212,0.0277857142857143
"303",2018,213,0.0263214285714286
"304",2018,214,0.0248571428571429
"305",2018,215,0.0233928571428571
"306",2018,216,0.0219285714285714
"307",2018,217,0.0204642857142857
"308",2018,218,0.019
"309",2018,219,0.01934375
"310",2018,220,0.0196875
"311",2018,221,0.02003125
"312",2018,222,0.020375
"313",2018,223,0.02071875
"314",2018,224,0.0210625
"315",2018,225,0.02140625
"316",2018,226,0.02175
"317",2018,227,0.02209375
"318",2018,228,0.0224375
"319",2018,229,0.02278125
"320",2018,230,0.023125
"321",2018,231,0.02346875
"322",2018,232,0.0238125
"323",2018,233,0.02415625
"324",2018,234,0.0245
"325",2018,235,0.0245897435897436
"326",2018,236,0.0246794871794872
"327",2018,237,0.0247692307692308
"328",2018,238,0.0248589743589744
"329",2018,239,0.024948717948718
"330",2018,240,0.0250384615384616
"331",2018,241,0.0251282051282051
"332",2018,242,0.0252179487179487
"333",2018,243,0.0253076923076923
"334",2018,244,0.0253974358974359
"335",2018,245,0.0254871794871795
"336",2018,246,0.0255769230769231
"337",2018,247,0.0256666666666667
"338",2018,248,0.0258888888888889
"339",2018,249,0.0261111111111111
"340",2018,250,0.0263333333333334
"341",2018,251,0.0265555555555556
"342",2018,252,0.0267777777777778
