"","date","Depth_m","TotP_mgL","daynum"
"443",2014-09-02,0,0.02,245
"444",2014-09-02,1,0.02,245
"445",2014-09-02,2,0.02,245
"446",2014-09-02,3,0.02,245
"447",2014-09-02,4,0.02,245
"448",2014-09-02,5,0.02,245
"449",2014-09-02,6,0.02,245
"450",2014-09-02,7,0.02,245
"451",2014-09-02,8,0.02,245
"452",2014-09-02,9,0.02,245
"453",2014-09-02,10,0.02,245
"454",2014-09-02,11,0.07,245
"455",2014-09-02,12,0.12,245
"456",2014-09-02,13,0.145,245
"457",2014-09-02,14,0.17,245
"458",2014-09-02,15,0.215,245
"459",2014-09-02,16,0.26,245
"460",2014-09-02,17,0.29,245
"461",2014-09-02,18,0.32,245
"462",2014-09-02,19,0.345,245
"463",2014-09-02,20,0.37,245
"464",2014-09-02,21,0.405,245
"465",2014-09-02,22,0.44,245
"466",2014-09-02,23,NA,245
"467",2014-09-02,24,NA,245
"468",2014-09-02,25,NA,245
"469",2015-04-10,0,0.102,100
"470",2015-04-10,1,0.1035,100
"471",2015-04-10,2,0.105,100
"472",2015-04-10,3,0.1065,100
"473",2015-04-10,4,0.108,100
"474",2015-04-10,5,NA,100
"475",2015-04-10,6,NA,100
"476",2015-04-10,7,NA,100
"477",2015-04-10,8,NA,100
"478",2015-04-10,9,NA,100
"479",2015-04-10,10,NA,100
"480",2015-04-10,11,NA,100
"481",2015-04-10,12,NA,100
"482",2015-04-10,13,NA,100
"483",2015-04-10,14,NA,100
"484",2015-04-10,15,NA,100
"485",2015-04-10,16,NA,100
"486",2015-04-10,17,NA,100
"487",2015-04-10,18,NA,100
"488",2015-04-10,19,NA,100
"489",2015-04-10,20,NA,100
"490",2015-04-10,21,NA,100
"491",2015-04-10,22,NA,100
"492",2015-04-10,23,NA,100
"493",2015-04-10,24,NA,100
"494",2015-04-10,25,NA,100
"495",2015-04-24,0,0.081,114
"496",2015-04-24,1,0.08375,114
"497",2015-04-24,2,0.0865,114
"498",2015-04-24,3,0.08925,114
"499",2015-04-24,4,0.092,114
"500",2015-04-24,5,0.08925,114
"501",2015-04-24,6,0.0865,114
"502",2015-04-24,7,0.08375,114
"503",2015-04-24,8,0.081,114
"504",2015-04-24,9,0.0805,114
"505",2015-04-24,10,0.08,114
"506",2015-04-24,11,0.0795,114
"507",2015-04-24,12,0.079,114
"508",2015-04-24,13,0.079,114
"509",2015-04-24,14,0.079,114
"510",2015-04-24,15,0.079,114
"511",2015-04-24,16,0.079,114
"512",2015-04-24,17,0.078,114
"513",2015-04-24,18,0.077,114
"514",2015-04-24,19,0.076,114
"515",2015-04-24,20,0.075,114
"516",2015-04-24,21,NA,114
"517",2015-04-24,22,NA,114
"518",2015-04-24,23,NA,114
"519",2015-04-24,24,NA,114
"520",2015-04-24,25,NA,114
"521",2015-05-01,0,0.059,121
"522",2015-05-01,1,0.06375,121
"523",2015-05-01,2,0.0685,121
"524",2015-05-01,3,0.07325,121
"525",2015-05-01,4,0.078,121
"526",2015-05-01,5,NA,121
"527",2015-05-01,6,NA,121
"528",2015-05-01,7,NA,121
"529",2015-05-01,8,NA,121
"530",2015-05-01,9,NA,121
"531",2015-05-01,10,NA,121
"532",2015-05-01,11,NA,121
"533",2015-05-01,12,NA,121
"534",2015-05-01,13,NA,121
"535",2015-05-01,14,NA,121
"536",2015-05-01,15,NA,121
"537",2015-05-01,16,NA,121
"538",2015-05-01,17,NA,121
"539",2015-05-01,18,NA,121
"540",2015-05-01,19,NA,121
"541",2015-05-01,20,NA,121
