"","sampledate","daynum","Yr","extTotP_kgday"
"188",2015-07-31,212,2015,42.8203816710888
"189",2015-08-01,213,2015,39.2342680130371
"190",2015-08-02,214,2015,29.1571508918382
"191",2015-08-03,215,2015,46.2916287155207
"192",2015-08-04,216,2015,40.4576524959861
"193",2015-08-05,217,2015,41.1113034685273
"194",2015-08-06,218,2015,35.1938012385777
"195",2015-08-07,219,2015,53.5160235258664
"196",2015-08-08,220,2015,57.3640851264568
"197",2015-08-09,221,2015,46.1662595469211
"198",2015-08-10,222,2015,44.6208749055783
"199",2015-08-11,223,2015,42.430789348345
"200",2015-08-12,224,2015,40.7707160077815
"201",2015-08-13,225,2015,35.1772134720102
"202",2015-08-14,226,2015,42.5859265574959
"203",2015-08-15,227,2015,33.5032680611757
"204",2015-08-16,228,2015,32.4075702356243
"205",2015-08-17,229,2015,60.4871204102785
"206",2015-08-18,230,2015,116.18280539435
"207",2015-08-19,231,2015,134.045548936506
"208",2015-08-20,232,2015,85.7214080667838
"209",2015-08-21,233,2015,39.4212596057732
"210",2015-08-22,234,2015,36.4665331037783
"211",2015-08-23,235,2015,43.7635309463793
"212",2015-08-24,236,2015,39.5455455263672
"213",2015-08-25,237,2015,36.6340744392562
"214",2015-08-26,238,2015,30.6755676418036
"215",2015-08-27,239,2015,31.7543351805339
"216",2015-08-28,240,2015,67.0649689337969
"217",2015-08-29,241,2015,162.369108043909
"218",2015-08-30,242,2015,77.6182864529502
"219",2015-08-31,243,2015,54.3203034600322
"220",2015-09-01,244,2015,41.0114343488689
"221",2015-09-02,245,2015,37.3924142807386
"222",2015-09-03,246,2015,36.7462742880444
"223",2015-09-04,247,2015,30.9864537034153
"224",2015-09-05,248,2015,29.4299927395674
"225",2015-09-06,249,2015,29.9667464426995
"226",2015-09-07,250,2015,49.323812499762
"227",2015-09-08,251,2015,47.2038551490772
"228",2015-09-09,252,2015,34.9976594619238
"229",2015-09-10,253,2015,50.0670584167155
"230",2015-09-11,254,2015,36.1967739383316
"231",2015-09-12,255,2015,31.5385229550301
"232",2016-07-13,195,2016,31.2667197237419
"233",2016-07-14,196,2016,34.1287345099916
"234",2016-07-15,197,2016,33.3037366033982
"235",2016-07-16,198,2016,28.3491945450478
"236",2016-07-17,199,2016,44.8312757013061
"237",2016-07-18,200,2016,38.4046105616075
"238",2016-07-19,201,2016,31.885960820848
"239",2016-07-20,202,2016,31.0252563550023
"240",2016-07-21,203,2016,186.37328857442
"241",2016-07-22,204,2016,579.643861072018
"242",2016-07-23,205,2016,224.547959059974
"243",2016-07-24,206,2016,191.273601661631
"244",2016-07-25,207,2016,113.154273449866
"245",2016-07-26,208,2016,74.4231351986566
"246",2016-07-27,209,2016,56.5774629998273
"247",2016-07-28,210,2016,65.8067201646906
"248",2016-07-29,211,2016,84.6422104843692
"249",2016-07-30,212,2016,50.0414915205283
"250",2016-07-31,213,2016,41.4343979306068
"251",2016-08-01,214,2016,39.6676295310452
"252",2016-08-02,215,2016,37.5503650491155
"253",2016-08-03,216,2016,34.2042357601792
"254",2016-08-04,217,2016,82.9576573923062
"255",2016-08-05,218,2016,106.857478970514
"256",2016-08-06,219,2016,81.5718509459234
"257",2016-08-07,220,2016,62.6039600676206
"258",2016-08-08,221,2016,48.624387368433
"259",2016-08-09,222,2016,44.5528491138251
"260",2016-08-10,223,2016,40.5092017941537
"261",2016-08-11,224,2016,48.8263220987402
"262",2016-08-12,225,2016,73.4976192707967
"263",2016-08-13,226,2016,48.1315047160581
"264",2016-08-14,227,2016,41.5240893055866
"265",2016-08-15,228,2016,39.1131381719227
"266",2016-08-16,229,2016,34.5996998586991
"267",2016-08-17,230,2016,58.6219950577228
"268",2016-08-18,231,2016,40.3884027014318
"269",2016-08-19,232,2016,144.958987103924
"270",2016-08-20,233,2016,86.2856306462948
"271",2016-08-21,234,2016,80.4793091998516
"272",2016-08-22,235,2016,56.4301548250445
"273",2016-08-23,236,2016,50.5717128731095
"274",2016-08-24,237,2016,69.565196035342
"275",2016-08-25,238,2016,48.6892704907588
"276",2016-08-26,239,2016,60.0969311343776
"277",2016-08-27,240,2016,113.260893374782
"278",2016-08-28,241,2016,80.5385162722606
"279",2016-08-29,242,2016,57.1531906146732
"280",2016-08-30,243,2016,52.8387290325085
"281",2016-08-31,244,2016,41.8157208357993
"282",2016-09-01,245,2016,39.547062401776
"283",2016-09-02,246,2016,38.0174158806389
"284",2016-09-03,247,2016,35.4839648248463
"285",2016-09-04,248,2016,34.092280568715
"286",2016-09-05,249,2016,34.2707825523082
"287",2016-09-06,250,2016,82.9548050352855
"288",2016-09-07,251,2016,250.268381230933
"289",2016-09-08,252,2016,342.423046913665
"290",2016-09-09,253,2016,141.34661279943
"291",2016-09-10,254,2016,104.085235303377
"292",2016-09-11,255,2016,75.7936321305292
"293",2017-07-14,195,2017,71.500140751585
"294",2017-07-15,196,2017,69.0910334549879
"295",2017-07-16,197,2017,63.0944490707836
"296",2017-07-17,198,2017,58.9524495068626
"297",2017-07-18,199,2017,68.3485403449842
"298",2017-07-19,200,2017,87.5721244366234
"299",2017-07-20,201,2017,499.244406756328
"300",2017-07-21,202,2017,347.810226553028
"301",2017-07-22,203,2017,541.620834722315
"302",2017-07-23,204,2017,314.381081427397
"303",2017-07-24,205,2017,183.610200301857
"304",2017-07-25,206,2017,124.984923009398
"305",2017-07-26,207,2017,113.647247824064
"306",2017-07-27,208,2017,109.408569819367
"307",2017-07-28,209,2017,85.0758624991859
"308",2017-07-29,210,2017,68.4683716582613
"309",2017-07-30,211,2017,56.9161910649106
"310",2017-07-31,212,2017,50.7770782308784
"311",2017-08-01,213,2017,46.409822668747
"312",2017-08-02,214,2017,42.3102222190759
"313",2017-08-03,215,2017,52.2415341204962
"314",2017-08-04,216,2017,44.091091581808
"315",2017-08-05,217,2017,39.0250860010137
"316",2017-08-06,218,2017,36.4407706875607
"317",2017-08-07,219,2017,34.293560149173
"318",2017-08-08,220,2017,32.3261727439282
"319",2017-08-09,221,2017,30.4347269720541
"320",2017-08-10,222,2017,66.2848294085645
"321",2017-08-11,223,2017,51.2403001259339
"322",2017-08-12,224,2017,30.6030756767012
"323",2017-08-13,225,2017,29.0578934154899
"324",2017-08-14,226,2017,27.8558185854616
"325",2017-08-15,227,2017,27.9655718610097
"326",2017-08-16,228,2017,84.1241630399878
"327",2017-08-17,229,2017,73.6296681962017
"328",2017-08-18,230,2017,55.8746236722951
"329",2017-08-19,231,2017,39.0648770681897
"330",2017-08-20,232,2017,34.4757148666136
"331",2017-08-21,233,2017,31.8766418233767
"332",2017-08-22,234,2017,32.1586558741827
"333",2017-08-23,235,2017,30.0478063072885
"334",2017-08-24,236,2017,28.6383843951669
"335",2017-08-25,237,2017,27.834959102017
"336",2017-08-26,238,2017,28.8270947517047
"337",2017-08-27,239,2017,37.1473589029046
"338",2017-08-28,240,2017,33.3470396803597
"339",2017-08-29,241,2017,30.7061865059026
"340",2017-08-30,242,2017,40.7676520189287
"341",2017-08-31,243,2017,37.1243872891459
