"","sampledate","Project.x","Date_Time","TotP_mgL","sampletime.x","Site_ID.x","Project.y","Date.Time","SRP_mgL","Site_ID.y","sampletime.y"
"430",2011-06-01,"Mendota Yahara Tributary Study 2010-11","6/1/2011 18:45",0.161,"6:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"431",2011-06-13,"Mendota Yahara Tributary Study 2010-11","6/13/2011 12:00",0.155,"12:00:00","WIDNR_133040","Mendota Yahara Tributary Study 2010-11","6/13/2011 12:00",1e-04,"WIDNR_133040","12:00:00"
"432",2011-06-20,"Mendota Yahara Tributary Study 2010-11","6/20/2011 20:15",0.161,"8:15:00","WIDNR_133040","Mendota Yahara Tributary Study 2010-11","6/20/2011 20:15",1e-04,"WIDNR_133040","8:15:00"
"433",2011-06-22,"Mendota Yahara Tributary Study 2010-11","6/22/2011 23:15",0.162,"11:15:00","WIDNR_133040","Mendota Yahara Tributary Study 2010-11","6/22/2011 23:15",1e-04,"WIDNR_133040","11:15:00"
"434",2011-06-23,"Mendota Yahara Tributary Study 2010-11","6/23/2011 11:45",0.17,"11:45:00","WIDNR_133040","Mendota Yahara Tributary Study 2010-11","6/23/2011 11:45",1e-04,"WIDNR_133040","11:45:00"
"435",2011-06-24,"Mendota Yahara Tributary Study 2010-11","6/24/2011 8:00",0.166,"8:00:00","WIDNR_133040","Mendota Yahara Tributary Study 2010-11","6/24/2011 8:00",1e-04,"WIDNR_133040","8:00:00"
"436",2011-07-14,"Mendota Yahara Tributary Study 2011-2012","7/14/2011 9:20",0.282,"9:20:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","7/14/2011 9:20",0.004,"WIDNR_133040","9:20:00"
"437",2011-08-16,"Mendota Yahara Tributary Study 2011-2012","8/16/2011 10:20",0.223,"10:20:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","8/16/2011 10:20",1e-04,"WIDNR_133040","10:20:00"
"438",2011-09-15,"Mendota Yahara Tributary Study 2011-2012","9/15/2011 8:50",0.176,"8:50:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","9/15/2011 8:50",0.003,"WIDNR_133040","8:50:00"
"439",2011-09-27,"Mendota Yahara Tributary Study 2011-2012","9/27/2011 4:45",0.106,"4:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"440",2011-11-08,"Mendota Yahara Tributary Study 2011-2012","11/8/2011 8:45",0.057,"8:45:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","11/8/2011 8:45",1e-04,"WIDNR_133040","8:45:00"
"441",2011-11-09,"Mendota Yahara Tributary Study 2011-2012","11/9/2011 20:45",0.052,"8:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"442",2011-11-10,"Mendota Yahara Tributary Study 2011-2012","11/10/2011 9:15",0.055,"9:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"443",2011-11-11,"Mendota Yahara Tributary Study 2011-2012","11/11/2011 4:00",0.06,"4:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"444",2011-11-25,"Mendota Yahara Tributary Study 2011-2012","11/25/2011 20:45",0.051,"8:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"445",2011-12-03,"Mendota Yahara Tributary Study 2011-2012","12/3/2011 5:15",0.063,"5:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"446",2011-12-04,"Mendota Yahara Tributary Study 2011-2012","12/4/2011 0:00",0.042,"12:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"447",2011-12-27,"Mendota Yahara Tributary Study 2011-2012","12/27/2011 4:45",0.041,"4:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"448",2012-02-17,"Mendota Yahara Tributary Study 2011-2012","2/17/2012 10:00",0.047,"10:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"449",2012-02-29,"Mendota Yahara Tributary Study 2011-2012","2/29/2012 16:30",0.117,"4:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"450",2012-03-06,"Mendota Yahara Tributary Study 2011-2012","3/6/2012 20:15",0.114,"8:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"451",2012-03-07,"Mendota Yahara Tributary Study 2011-2012","3/7/2012 12:00",0.085,"12:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"452",2012-03-10,"Mendota Yahara Tributary Study 2011-2012","3/10/2012 22:45",0.11,"10:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"453",2012-03-13,"Mendota Yahara Tributary Study 2011-2012","3/13/2012 7:15",0.11,"7:15:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","3/13/2012 7:15",0.01,"WIDNR_133040","7:15:00"
"454",2012-03-26,"Mendota Yahara Tributary Study 2011-2012","3/26/2012 3:15",0.201,"3:15:00","WIDNR_133040",NA,NA,NA,NA,NA
"455",2012-03-29,"Mendota Yahara Tributary Study 2011-2012","3/29/2012 18:00",0.123,"6:00:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","3/29/2012 18:00",1e-04,"WIDNR_133040","6:00:00"
"456",2012-04-08,"Mendota Yahara Tributary Study 2011-2012","4/8/2012 1:30",0.106,"1:30:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","4/8/2012 1:30",1e-04,"WIDNR_133040","1:30:00"
"457",2012-04-16,"Mendota Yahara Tributary Study 2011-2012","4/16/2012 22:00",0.152,"10:00:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","4/16/2012 22:00",1e-04,"WIDNR_133040","10:00:00"
"458",2012-04-20,"Mendota Yahara Tributary Study 2011-2012","4/20/2012 14:45",0.136,"2:45:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","4/20/2012 14:45",1e-04,"WIDNR_133040","2:45:00"
"459",2012-05-02,"Mendota Yahara Tributary Study 2011-2012","5/2/2012 22:15",0.086,"10:15:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","5/2/2012 22:15",1e-04,"WIDNR_133040","10:15:00"
"460",2012-05-06,"Mendota Yahara Tributary Study 2011-2012","5/6/2012 21:30",0.112,"9:30:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","5/6/2012 21:30",1e-04,"WIDNR_133040","9:30:00"
"461",2012-05-23,"Mendota Yahara Tributary Study 2011-2012","5/23/2012 14:10",0.09,"2:10:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","5/23/2012 14:10",1e-04,"WIDNR_133040","2:10:00"
"462",2012-05-28,"Mendota Yahara Tributary Study 2011-2012","5/28/2012 21:45",0.108,"9:45:00","WIDNR_133040",NA,NA,NA,NA,NA
"463",2012-06-11,"Mendota Yahara Tributary Study 2011-2012","6/11/2012 11:00",0.115,"11:00:00","WIDNR_133040","Mendota Yahara Tributary Study 2011-2012","6/11/2012 11:00",1e-04,"WIDNR_133040","11:00:00"
"464",2012-07-17,"Mendota Yahara Tributary Study 2012-2015","7/17/2012 13:05",0.276,"1:05:00","WIDNR_133040","Mendota Yahara Tributary Study 2012-2015","7/17/2012 13:05",1e-04,"WIDNR_133040","1:05:00"
"465",2012-07-23,"Mendota Yahara Tributary Study 2012-2015","7/23/2012 11:00",0.245,"11:00:00","WIDNR_133040",NA,NA,NA,NA,NA
"466",2012-08-15,"Mendota Yahara Tributary Study 2012-2015","8/15/2012 11:00",0.121,"11:00:00","WIDNR_133040","Mendota Yahara Tributary Study 2012-2015","8/15/2012 11:00",1e-04,"WIDNR_133040","11:00:00"
"467",2012-09-18,"Mendota Yahara Tributary Study 2012-2015","9/18/2012 9:45",0.07,"9:45:00","WIDNR_133040","Mendota Yahara Tributary Study 2012-2015","9/18/2012 9:45",1e-04,"WIDNR_133040","9:45:00"
"468",2012-10-16,"Mendota Yahara Tributary Study 2012-2015","10/16/2012 12:20",0.04,"12:20:00","WIDNR_133040","Mendota Yahara Tributary Study 2012-2015","10/16/2012 12:20",1e-04,"WIDNR_133040","12:20:00"
"469",2012-10-19,"Mendota Yahara Tributary Study 2012-2015","10/19/2012 6:30",0.048,"6:30:00","WIDNR_133040",NA,NA,NA,NA,NA
"470",2012-10-25,"Mendota Yahara Tributary Study 2012-2015","10/25/2012 21:00",0.055,"9:00:00","WIDNR_133040","Mendota Yahara Tributary Study 2012-2015","10/25/2012 21:00",1e-04,"WIDNR_133040","9:00:00"
