Date,Ctime,Rtime,id,depth_ft,Value,Analyte,Unit,Lab_ID,Data_source
8/11/1981,10:00:00,10:00:00,EOF,5,12.2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,10:00:00,10:00:00,EOF,10,11.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,10:00:00,10:00:00,EOF,20,9,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,12:00:00,12:00:00,EUS,0,17.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,12:00:00,12:00:00,EUS,5,25.2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,12:00:00,12:00:00,EUS,10,11.9,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/11/1981,12:00:00,12:00:00,EUS,20,10.2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/9/1982,14:00:00,14:00:00,CUS,0,6.7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/9/1982,14:00:00,14:00:00,CUS,2,14,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/9/1982,14:00:00,14:00:00,CUS,5,10,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/9/1982,14:00:00,14:00:00,CUS,10,4.2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/9/1982,14:00:00,14:00:00,CUS,20,4,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/9/1982,12:00:00,12:00:00,EOF,0,6.7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/9/1982,12:00:00,12:00:00,EOF,2,23.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/9/1982,12:00:00,12:00:00,EOF,5,22,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
6/9/1982,12:00:00,12:00:00,EOF,10,6,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/14/1982,11:00:00,11:00:00,CUS,0,12.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/14/1982,11:00:00,11:00:00,CUS,2,16,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/14/1982,11:00:00,11:00:00,CUS,5,15.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/14/1982,11:00:00,11:00:00,CUS,10,16.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/14/1982,11:00:00,11:00:00,CUS,20,7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/14/1982,9:00:00,9:00:00,EOF,0,7.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/14/1982,9:00:00,9:00:00,EOF,2,7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/14/1982,9:00:00,9:00:00,EOF,5,8.2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/14/1982,9:00:00,9:00:00,EOF,10,9.2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
7/14/1982,9:00:00,9:00:00,EOF,20,1.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/12/1982,11:00:00,11:00:00,CUS,0,5.3,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/12/1982,11:00:00,11:00:00,CUS,2,5.1,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/12/1982,11:00:00,11:00:00,CUS,5,6.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/12/1982,11:00:00,11:00:00,CUS,10,5.8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/12/1982,11:00:00,11:00:00,CUS,20,5.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/12/1982,10:00:00,10:00:00,EOF,0,2.2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/12/1982,10:00:00,10:00:00,EOF,2,1.4,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/12/1982,10:00:00,10:00:00,EOF,5,2.6,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/12/1982,10:00:00,10:00:00,EOF,10,3.2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
8/12/1982,10:00:00,10:00:00,EOF,20,3.2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/21/1983,12:00:00,12:00:00,CUS,0,8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/21/1983,12:00:00,12:00:00,CUS,2,11,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/21/1983,12:00:00,12:00:00,CUS,5,12,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/21/1983,12:00:00,12:00:00,CUS,10,8,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/21/1983,12:00:00,12:00:00,CUS,20,2,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/21/1983,11:00:00,11:00:00,EMB,0,14,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/21/1983,11:00:00,11:00:00,EMB,2,19,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/21/1983,11:00:00,11:00:00,EMB,5,7,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/21/1983,11:00:00,11:00:00,EMB,10,3,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
5/21/1983,11:00:00,11:00:00,EMB,20,1.5,CHLA-Corrected,ugL,USACE,EastFork-HarshaLake_GrabSamplingAndDiscreteSondeData_Merged_CTN03242022
